City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port alfred,-33.5906,26.891,51.84,73,61,14.92,ZA,1630172170
ostrovnoy,68.0531,39.5131,45.12,76,100,21.0,RU,1630172171
vaini,-21.2,-175.2,68.16,68,75,6.91,TO,1630172171
ancud,-41.8697,-73.8203,53.42,90,100,11.74,CL,1630172171
atar,20.5169,-13.0499,103.69,20,49,10.29,MR,1630172172
kruisfontein,-34.0033,24.7314,45.88,79,51,7.52,ZA,1630172172
chokurdakh,70.6333,147.9167,33.13,96,100,5.95,RU,1630172172
ribeira brava,32.65,-17.0667,78.71,70,11,5.3,PT,1630172172
moron,-34.6534,-58.6198,70.02,38,100,7.0,AR,1630172113
new norfolk,-42.7826,147.0587,43.75,83,98,2.53,AU,1630171980
carnarvon,-24.8667,113.6333,62.67,73,9,14.97,AU,1630172173
belyy yar,53.6039,91.3903,58.89,77,0,4.47,RU,1630172173
torres,-29.3353,-49.7269,68.83,70,43,13.91,BR,1630172058
coquimbo,-29.9533,-71.3436,60.53,72,0,13.8,CL,1630172173
hormigueros,18.1397,-67.1274,92.64,71,7,10.0,PR,1630172174
aklavik,68.2191,-135.0107,50.72,81,75,6.91,CA,1630172085
sept-iles,50.2001,-66.3821,75.72,50,20,5.01,CA,1630172174
iberia,29.9502,-91.7507,86.0,79,75,9.22,US,1630172174
cape town,-33.9258,18.4232,50.41,72,40,3.44,ZA,1630172175
butaritari,3.0707,172.7902,82.11,74,54,9.8,KI,1630172175
mega,4.05,38.3,66.29,44,12,10.58,ET,1630172175
longyearbyen,78.2186,15.6401,42.64,81,0,4.61,SJ,1630172019
palmer,42.1584,-72.3287,75.31,60,90,10.36,US,1630172176
kloulklubed,7.0419,134.2556,77.5,68,87,7.81,PW,1630172176
san patricio,28.017,-97.5169,91.38,48,33,8.37,US,1630172176
bluff,-46.6,168.3333,46.8,78,79,8.66,NZ,1630172176
cururupu,-1.8283,-44.8683,86.68,54,79,9.55,BR,1630172177
puerto ayora,-0.7393,-90.3518,75.16,80,65,7.0,EC,1630172177
bodden town,19.2833,-81.25,88.99,75,40,7.0,KY,1630172177
ushuaia,-54.8,-68.3,47.82,61,75,4.61,AR,1630172138
alamosa,37.4695,-105.87,81.66,40,1,4.61,US,1630172178
inta,66.0317,60.1659,49.17,69,100,18.61,RU,1630172178
muli,2.9167,73.5667,82.94,74,100,16.13,MV,1630172178
mount pleasant,32.7941,-79.8626,92.08,72,1,1.99,US,1630172116
dikson,73.5069,80.5464,41.18,74,100,15.12,RU,1630171998
tuktoyaktuk,69.4541,-133.0374,48.2,93,75,8.05,CA,1630172178
takoradi,4.8845,-1.7554,77.11,86,98,11.54,GH,1630172179
hilo,19.7297,-155.09,78.62,80,1,8.05,US,1630172179
mahebourg,-20.4081,57.7,71.26,100,75,24.16,MU,1630172179
bredasdorp,-34.5322,20.0403,43.29,70,48,2.64,ZA,1630171991
kaitangata,-46.2817,169.8464,39.69,95,31,5.23,NZ,1630172064
nha trang,12.25,109.1833,78.8,91,83,4.72,VN,1630172180
winnemucca,40.973,-117.7357,74.1,23,1,14.97,US,1630171993
tuatapere,-46.1333,167.6833,46.81,91,78,1.19,NZ,1630172105
atuona,-9.8,-139.0333,77.95,79,26,20.98,PF,1630172180
port hedland,-20.3167,118.5667,62.65,82,65,4.61,AU,1630172180
yellowknife,62.456,-114.3525,59.52,100,75,8.05,CA,1630172101
bambous virieux,-20.3428,57.7575,71.22,100,75,24.16,MU,1630172181
boromo,11.75,-2.9333,83.52,70,92,0.85,BF,1630172181
isangel,-19.55,169.2667,70.52,76,7,5.99,VU,1630172181
severo-yeniseyskiy,60.3725,93.0408,47.08,89,92,3.49,RU,1630172181
hasaki,35.7333,140.8333,79.2,87,0,9.22,JP,1630172182
darab,28.7519,54.5444,86.04,15,0,21.43,IR,1630172182
esperance,-33.8667,121.9,51.64,81,100,12.28,AU,1630172034
along,28.1667,94.7667,71.64,99,100,1.41,IN,1630172182
biak,-0.9131,122.8766,74.55,88,67,6.55,ID,1630172183
busselton,-33.65,115.3333,54.09,84,100,11.16,AU,1630172005
jamsa,61.8642,25.19,61.52,84,90,5.19,FI,1630172183
saskylakh,71.9167,114.0833,35.1,98,100,12.21,RU,1630171993
kahului,20.8947,-156.47,74.46,73,20,8.05,US,1630172052
verkhnevilyuysk,63.4453,120.3167,49.69,80,80,8.39,RU,1630172183
xining,36.6167,101.7667,53.08,79,83,2.06,CN,1630172184
rognan,67.0953,15.3878,59.05,82,21,3.0,NO,1630172184
upernavik,72.7868,-56.1549,38.41,73,96,3.38,GL,1630172184
faanui,-16.4833,-151.75,78.78,75,29,7.43,PF,1630172185
killybegs,54.6333,-8.45,62.31,84,69,8.97,IE,1630172185
torbay,47.6666,-52.7314,61.48,79,96,8.01,CA,1630172185
caravelas,-17.7125,-39.2481,78.33,61,23,8.63,BR,1630172185
thompson,55.7435,-97.8558,68.16,52,75,5.75,CA,1630171931
rio gallegos,-51.6226,-69.2181,48.25,61,0,16.11,AR,1630172186
hami,42.8,93.45,79.59,25,21,6.31,CN,1630172186
souillac,-20.5167,57.5167,71.37,100,75,24.16,MU,1630172186
torrejon de ardoz,40.4553,-3.4697,91.72,18,0,10.36,ES,1630172187
bengkulu,-3.8004,102.2655,75.88,90,90,6.55,ID,1630172187
hobyo,5.3505,48.5268,77.32,83,16,29.57,SO,1630172187
saldanha,-33.0117,17.9442,50.41,58,54,5.86,ZA,1630172187
brenham,30.1669,-96.3977,91.98,67,40,0.0,US,1630172188
provideniya,64.3833,-173.3,47.43,98,100,6.15,RU,1630172188
san-pedro,4.7485,-6.6363,77.36,82,93,8.41,CI,1630172188
doha,25.2867,51.5333,98.49,44,0,4.61,QA,1630172189
koungou,-12.7336,45.2042,74.91,69,0,6.91,YT,1630172189
cherskiy,68.75,161.3,33.42,78,90,9.08,RU,1630172189
ponta do sol,32.6667,-17.1,78.71,69,11,5.73,PT,1630172025
college,64.8569,-147.8028,39.52,92,75,4.61,US,1630172035
saint-philippe,-21.3585,55.7679,69.39,86,97,11.14,RE,1630172190
chapais,49.7834,-74.8492,62.38,35,100,9.51,CA,1630171970
dingle,10.9995,122.6711,76.23,91,99,2.59,PH,1630172190
bandarbeyla,9.4942,50.8122,76.01,83,35,35.39,SO,1630172190
bintulu,3.1667,113.0333,75.61,94,40,3.44,MY,1630172191
la asuncion,11.0333,-63.8628,84.02,73,42,15.32,VE,1630172191
avarua,-21.2078,-159.775,68.05,64,8,5.75,CK,1630171987
victoria,22.2855,114.1577,84.33,72,71,8.79,HK,1630171938
asau,46.4333,26.4,66.76,92,96,2.95,RO,1630172191
port blair,11.6667,92.75,79.65,86,100,15.32,IN,1630172192
norman wells,65.282,-126.8329,55.44,88,75,10.36,CA,1630172019
tabas,33.5959,56.9244,87.42,17,0,8.77,IR,1630172192
isfana,39.8386,69.5306,68.56,28,72,5.93,KG,1630172192
jamestown,42.097,-79.2353,87.3,68,75,5.01,US,1630172192
nola,40.922,14.5329,80.51,55,15,4.99,IT,1630172193
komsomolskiy,40.4272,71.7189,90.32,13,7,9.22,UZ,1630172193
sinnamary,5.3833,-52.95,85.71,70,72,14.34,GF,1630172059
yebaishou,41.3975,119.6408,61.12,69,45,3.74,CN,1630172193
kalmunai,7.4167,81.8167,82.0,67,99,4.09,LK,1630172194
meulaboh,4.1363,96.1285,77.32,86,100,2.37,ID,1630172194
la sarre,48.8002,-79.1996,54.48,95,100,11.23,CA,1630171993
qui nhon,13.7667,109.2333,78.06,88,73,5.88,VN,1630172194
kargil,34.5667,76.1,53.69,53,90,7.29,IN,1630172195
maningrida,-12.0667,134.2667,68.23,47,79,8.03,AU,1630172195
kutum,14.2,24.6667,86.34,25,44,7.07,SD,1630172195
saint anthony,45.0205,-93.218,87.84,64,40,8.01,US,1630172014
polovinnoye,54.7914,65.9864,53.04,68,98,13.65,RU,1630172195
tasiilaq,65.6145,-37.6368,46.56,99,100,2.1,GL,1630172196
lebu,-37.6167,-73.65,51.85,93,100,15.12,CL,1630172196
opuwo,-18.0607,13.84,73.04,18,0,6.53,NA,1630172196
starokostyantyniv,49.7576,27.2034,58.06,69,59,1.88,UA,1630172196
naryan-mar,67.6713,53.087,45.57,87,100,15.28,RU,1630172197
praia,14.9215,-23.5087,82.94,69,75,10.36,CV,1630172197
hamilton,39.1834,-84.5333,92.05,62,20,1.01,US,1630171897
nelson bay,-32.7167,152.15,48.69,88,9,8.37,AU,1630172197
chimbote,-9.0853,-78.5783,69.06,70,62,10.31,PE,1630172198
mbandaka,0.0487,18.2603,77.54,74,99,5.86,CD,1630172056
natal,-5.795,-35.2094,86.65,58,20,20.71,BR,1630172198
saint george,37.1041,-113.5841,99.07,16,1,0.0,US,1630172198
iqaluit,63.7506,-68.5145,40.73,93,90,6.91,CA,1630172199
beloha,-25.1667,45.05,73.47,46,0,12.37,MG,1630172199
karasburg,-28.0167,18.75,45.5,33,7,7.76,NA,1630172199
vardo,70.3705,31.1107,46.65,75,88,17.49,NO,1630172200
lakes entrance,-37.8811,147.981,41.58,86,82,4.32,AU,1630172200
jinji,23.2281,110.8261,76.55,83,22,1.81,CN,1630172200
gizo,-8.103,156.8419,81.05,75,41,2.86,SB,1630172200
fukue,32.6881,128.8419,78.84,82,1,8.03,JP,1630172201
kiunga,-6.1219,141.2906,73.09,100,100,1.77,PG,1630172201
itoman,26.1247,127.6694,83.17,85,40,5.75,JP,1630172201
nuevo casas grandes,30.4167,-107.9167,83.75,38,10,3.0,MX,1630171951
brits,-25.6347,27.7802,51.12,14,0,18.1,ZA,1630172202
gorontalo,0.5412,123.0595,74.28,96,92,2.19,ID,1630172202
nabire,-3.3667,135.4833,74.68,93,100,3.83,ID,1630172202
idah,7.1065,6.7342,76.15,95,100,2.75,NG,1630172202
leningradskiy,69.3833,178.4167,30.85,80,25,3.15,RU,1630172203
ribeira grande,38.5167,-28.7,75.6,73,40,17.27,PT,1630172203
lavrentiya,65.5833,-171.0,43.41,97,100,9.01,RU,1630172077
sukhumi,43.0033,41.0153,76.59,76,0,2.66,GE,1630172203
isoka,-10.1606,32.6335,71.6,30,22,1.7,ZM,1630172204
sobolevo,54.4299,31.8996,58.64,91,31,5.19,RU,1630172178
katsuura,35.1333,140.3,82.51,91,0,8.52,JP,1630172204
vondrozo,-22.8167,47.2833,59.18,98,40,0.89,MG,1630172204
puranpur,28.5167,80.15,76.48,92,66,4.9,IN,1630172204
gamba,-2.65,10.0,74.97,85,79,6.89,GA,1630172187
east london,-33.0153,27.9116,52.74,58,0,19.57,ZA,1630172205
takikawa,43.5528,141.9064,62.49,93,1,6.76,JP,1630172205
sakakah,29.9697,40.2064,105.37,9,17,4.14,SA,1630172123
port jervis,41.3751,-74.6927,74.77,70,77,8.46,US,1630172205
reconquista,-29.15,-59.65,79.32,24,9,5.55,AR,1630172206
mar del plata,-38.0023,-57.5575,60.82,63,0,12.66,AR,1630172206
guayape,14.7167,-86.8333,81.59,50,62,5.79,HN,1630172206
berlevag,70.8578,29.0864,45.64,78,100,17.78,NO,1630172207
krasnoselkup,65.7,82.4667,41.67,69,62,9.84,RU,1630172207
padang,-0.9492,100.3543,77.05,87,71,3.58,ID,1630172207
mazamet,43.49,2.373,79.11,41,0,13.8,FR,1630172207
tyrma,50.0833,132.1667,50.65,94,99,6.78,RU,1630172208
haines junction,60.7522,-137.5108,46.35,93,100,1.14,CA,1630172208
kysyl-syr,63.8986,122.7617,47.26,83,91,7.45,RU,1630172208
tautira,-17.7333,-149.15,77.02,79,14,12.33,PF,1630172209
qasigiannguit,68.8193,-51.1922,41.25,69,49,8.14,GL,1630172209
klaksvik,62.2266,-6.589,54.52,87,12,5.14,FO,1630172029
lazaro cardenas,17.9583,-102.2,75.4,95,100,7.96,MX,1630172096
luanda,-8.8368,13.2343,71.6,78,75,8.05,AO,1630172209
benjamin aceval,-24.9667,-57.5667,80.74,44,74,5.48,PY,1630172210
iglas,27.7167,77.9333,81.09,81,99,4.99,IN,1630172210
santa isabel do rio negro,-0.4139,-65.0192,98.64,35,47,2.21,BR,1630172210
benghazi,32.1167,20.0667,83.19,66,3,11.86,LY,1630172211
iowa city,41.6611,-91.5302,92.7,62,1,8.05,US,1630171927
vao,-22.6667,167.4833,70.2,79,18,6.13,NC,1630172211
adet,11.2644,37.4888,57.13,84,38,6.33,ET,1630172211
udachnyy,66.4167,112.4,42.1,74,93,9.98,RU,1630172004
te anau,-45.4167,167.7167,42.55,98,98,1.59,NZ,1630172212
sarai mir,26.0167,82.9167,84.18,88,100,5.46,IN,1630172212
baculin,7.4525,126.5842,78.26,83,95,4.43,PH,1630172212
chicama,-7.8447,-79.1469,61.34,58,89,10.13,PE,1630172212
luderitz,-26.6481,15.1594,61.03,33,0,20.18,NA,1630172213
olivenza,38.6832,-7.103,87.21,33,29,12.21,ES,1630172213
mount isa,-20.7333,139.5,46.17,31,0,1.14,AU,1630172213
nikolskoye,59.7035,30.7861,66.09,79,47,5.46,RU,1630172035
nodeland,58.1552,7.8358,65.7,66,0,4.61,NO,1630172214
brae,60.3964,-1.353,55.31,78,99,3.36,GB,1630172214
ndele,8.4109,20.6473,74.37,90,64,0.98,CF,1630172214
codrington,-38.2667,141.9667,45.3,96,100,9.6,AU,1630172121
ust-maya,60.4167,134.5333,43.81,63,100,4.21,RU,1630172214
la paz,-16.5,-68.15,60.78,21,40,13.8,BO,1630172130
ilulissat,69.2167,-51.1,41.02,75,40,6.91,GL,1630172215
portland,45.5234,-122.6762,72.95,65,1,1.99,US,1630172061
skjervoy,70.0311,20.9714,48.61,82,100,3.89,NO,1630172215
qaqortoq,60.7167,-46.0333,50.5,54,100,3.6,GL,1630172097
margate,51.3813,1.3862,64.9,76,33,7.0,GB,1630172215
raton,36.9034,-104.4391,85.06,42,1,0.0,US,1630172216
husavik,66.0449,-17.3389,60.71,59,59,7.0,IS,1630172216
chuy,-33.6971,-53.4616,62.22,60,89,11.1,UY,1630172216
namibe,-15.1961,12.1522,63.48,85,6,2.08,AO,1630172217
santa ana,33.7456,-117.8678,105.76,75,40,5.75,US,1630171993
conceicao do araguaia,-8.2578,-49.2647,86.13,62,0,6.91,BR,1630172217
mwene-ditu,-7.0,23.45,78.73,46,98,3.33,CD,1630172217
pisco,-13.7,-76.2167,67.01,77,0,9.22,PE,1630172217
port augusta,-32.5,137.7667,48.7,89,63,6.85,AU,1630172218
havelock,34.8791,-76.9013,93.06,72,20,4.0,US,1630172218
sumenep,-7.0167,113.8667,79.77,77,62,10.13,ID,1630172218
strelka,58.0728,93.0344,56.43,75,7,2.42,RU,1630172218
laguna,38.421,-121.4238,94.6,30,90,1.01,US,1630172000
cap-aux-meules,47.3821,-61.8597,66.25,52,20,20.71,CA,1630172219
nanortalik,60.1432,-45.2371,44.51,71,100,5.82,GL,1630172219
auki,-8.7676,160.7034,76.6,90,99,5.3,SB,1630172219
zvishavane,-20.3267,30.0665,76.96,21,17,7.67,ZW,1630172220
tocopilla,-22.092,-70.1979,67.42,61,12,9.64,CL,1630172220
asmara,15.3333,38.9333,67.3,63,76,2.1,ER,1630172220
ust-kuyga,70.0167,135.6,33.58,92,100,4.36,RU,1630172220
sitka,57.0531,-135.33,55.29,82,90,12.66,US,1630172221
gaogou,34.0175,119.1886,70.16,97,57,4.32,CN,1630172221
pangnirtung,66.1451,-65.7125,44.6,76,40,14.97,CA,1630172221
mitu,1.1983,-70.1733,90.05,49,86,2.64,CO,1630172222
kavieng,-2.5744,150.7967,82.2,78,98,14.12,PG,1630172222
pevek,69.7008,170.3133,31.91,80,9,7.96,RU,1630172026
cabo san lucas,22.8909,-109.9124,96.62,55,1,6.91,MX,1630172034
grand gaube,-20.0064,57.6608,71.38,91,100,8.99,MU,1630172125
tieling,42.2931,123.8414,60.8,86,81,5.03,CN,1630172222
christchurch,-43.5333,172.6333,47.91,94,75,1.99,NZ,1630172223
kijang,35.2442,129.2139,76.73,89,0,4.34,KR,1630172223
guerrero negro,27.9769,-114.0611,84.25,50,3,5.84,MX,1630172223
makakilo city,21.3469,-158.0858,76.69,71,1,4.61,US,1630172223
leh,34.1667,77.5833,56.68,57,22,7.36,IN,1630172087
raudeberg,61.9875,5.1352,64.18,87,0,5.19,NO,1630172224
semey,50.4111,80.2275,68.31,28,3,4.83,KZ,1630172189
hambantota,6.1241,81.1185,80.02,79,95,18.16,LK,1630172224
griffith,41.5284,-87.4237,92.89,70,1,1.99,US,1630172224
hervey bay,-25.2986,152.8535,62.04,81,33,4.45,AU,1630171944
gorele,41.0308,39.0031,78.24,82,0,2.71,TR,1630172225
bay city,43.5945,-83.8889,88.29,72,1,10.36,US,1630172225
merritt,50.1123,-120.7942,70.07,40,54,3.27,CA,1630172091
epe,6.5841,3.9834,77.5,87,93,7.61,NG,1630172225
constitucion,-35.3333,-72.4167,61.97,51,100,6.15,CL,1630172019
avera,33.194,-82.5271,91.27,52,75,6.64,US,1630172226
kilindoni,-7.9139,39.6668,76.14,76,2,14.83,TZ,1630172226
paracuru,-3.41,-39.0306,86.02,49,53,17.52,BR,1630172226
albanel,48.8832,-72.4487,66.18,42,100,9.22,CA,1630172227
kirkwall,58.9848,-2.9587,59.34,86,90,6.91,GB,1630172227
anadyr,64.75,177.4833,52.3,93,75,11.18,RU,1630172227
hvide sande,56.0045,8.1294,63.0,74,81,19.33,DK,1630172228
miles city,46.4083,-105.8406,63.52,67,40,13.8,US,1630172228
taltal,-25.4,-70.4833,64.44,65,14,6.44,CL,1630172202
seoul,37.5683,126.9778,72.97,94,90,4.61,KR,1630172022
cayenne,4.9333,-52.3333,86.09,78,75,5.01,GF,1630172228
hofn,64.2539,-15.2082,55.62,70,51,11.03,IS,1630172228
balangir,20.7167,83.4833,78.75,88,100,1.36,IN,1630172117
abay,49.6311,72.8539,59.38,36,24,10.94,KZ,1630172229
yaan,7.3833,8.5667,74.86,91,100,5.75,NG,1630172229
vila franca do campo,37.7167,-25.4333,75.61,75,56,14.34,PT,1630172109
muriwai beach,-36.8167,174.45,55.76,97,35,8.05,NZ,1630172205
ponta delgada,37.7333,-25.6667,75.92,83,40,16.11,PT,1630172229
camden,39.7835,-74.9663,78.58,87,58,9.13,US,1630172230
ngorongoro,-3.2397,35.4875,58.64,36,7,2.73,TZ,1630172230
carutapera,-1.195,-46.02,85.75,64,94,13.11,BR,1630172131
marsh harbour,26.5412,-77.0636,83.88,74,100,10.94,BS,1630172129
paragominas,-2.9667,-47.4833,88.23,47,43,5.3,BR,1630172008
nyirmihalydi,47.7398,21.9645,65.86,49,99,5.37,HU,1630172230
faya,18.3851,42.4509,80.71,20,56,11.16,SA,1630172231
nanzhang,31.7765,111.8386,68.5,97,100,3.76,CN,1630172231
port-gentil,-0.7193,8.7815,78.76,78,75,11.5,GA,1630172128
paveh,35.0434,46.3565,80.19,16,5,6.69,IR,1630172231
breves,-1.6822,-50.4803,89.02,53,45,4.83,BR,1630172231
jawhar,2.7809,45.5005,75.58,76,25,18.99,SO,1630172232
ketrzyn,54.0768,21.3753,56.61,93,100,5.86,PL,1630172180
huancavelica,-12.7667,-74.9833,49.6,47,94,6.02,PE,1630172232
antalaha,-14.9003,50.2788,65.93,90,39,6.53,MG,1630172232
sao joao da barra,-21.6403,-41.0511,82.49,70,36,12.17,BR,1630172233
grindavik,63.8424,-22.4338,52.27,82,90,20.71,IS,1630172039
edd,13.9297,41.6925,91.42,64,22,3.71,ER,1630172233
phalodi,27.1333,72.3667,91.51,38,98,13.29,IN,1630172233
lagoa,39.05,-27.9833,71.04,86,21,17.45,PT,1630172233
maralal,1.0968,36.698,68.88,44,84,3.4,KE,1630172234
anaconda,46.1285,-112.9423,58.96,34,6,0.92,US,1630171991
barrow,71.2906,-156.7887,37.42,87,90,17.27,US,1630171994
macau,22.2006,113.5461,84.07,70,20,9.22,MO,1630172234
japura,-0.3167,102.35,73.99,93,47,2.1,ID,1630172234
maua,-23.6678,-46.4614,61.09,93,100,4.81,BR,1630172235
mayo,38.8876,-76.5119,91.26,74,75,3.0,US,1630172159
ialibu,-6.2821,143.9935,53.67,97,92,3.31,PG,1630172235
sorland,67.667,12.6934,54.21,84,30,5.59,NO,1630172235
nexo,55.0607,15.1306,59.09,94,100,10.38,DK,1630172236
vila velha,-20.3297,-40.2925,78.75,61,0,11.5,BR,1630172236
helena,46.5927,-112.0361,67.32,54,90,4.0,US,1630172236
port hardy,50.6996,-127.4199,55.58,100,90,5.75,CA,1630171993
buchanan,5.8808,-10.0467,82.36,79,94,7.85,LR,1630172007
dwarka,22.2394,68.9678,80.64,75,16,12.24,IN,1630172129
fare,-16.7,-151.0167,79.36,72,14,9.19,PF,1630172237
teya,60.3778,92.6267,49.57,85,88,4.5,RU,1630172237
maldonado,-34.6667,-54.9167,65.23,61,97,9.53,UY,1630172237
havre-saint-pierre,50.2334,-63.5986,68.36,52,1,17.27,CA,1630172238
khawhai,23.3667,93.1167,61.54,99,100,1.86,IN,1630172238
evensk,61.95,159.2333,50.27,96,100,1.9,RU,1630172238
sibolga,1.7427,98.7792,76.14,86,87,3.6,ID,1630172238
la ronge,55.1001,-105.2842,57.45,88,90,6.91,CA,1630172239
barcelos,41.5388,-8.6151,74.28,75,100,6.51,PT,1630172239
port elizabeth,-33.918,25.5701,48.49,81,90,11.5,ZA,1630172239
port lincoln,-34.7333,135.8667,49.46,81,30,8.52,AU,1630172240
lenger,42.183,69.8839,74.64,21,18,6.29,KZ,1630172240
leua,48.2156,18.6071,65.5,62,100,4.81,SK,1630172240
pontianak,-0.0333,109.3333,75.18,94,20,0.0,ID,1630172240
peniche,39.3558,-9.3811,77.72,74,89,10.4,PT,1630172241
kununurra,-15.7667,128.7333,60.78,72,57,0.0,AU,1630172241
noumea,-22.2763,166.4572,64.38,82,0,2.68,NC,1630172241
beringovskiy,63.05,179.3167,49.21,92,100,6.31,RU,1630172241
salalah,17.0151,54.0924,78.89,94,90,5.75,OM,1630172021
champerico,14.3,-91.9167,91.76,71,52,5.06,GT,1630172242
mehamn,71.0357,27.8492,45.41,79,91,15.39,NO,1630172236
miri,4.4148,114.0089,75.34,94,40,4.61,MY,1630172242
hay river,60.8156,-115.7999,67.98,52,75,8.05,CA,1630171993
hjallerup,57.1647,10.1457,62.38,74,90,10.36,DK,1630172242
aranos,-24.1333,19.1167,41.86,19,0,11.36,NA,1630172243
bilibino,68.0546,166.4372,36.39,75,99,4.34,RU,1630172243
cozumel,20.5083,-86.9458,89.58,72,20,1.99,MX,1630172243
anqing,30.5092,117.0506,76.55,93,44,1.88,CN,1630172244
dandong,40.1292,124.3947,66.43,72,99,1.99,CN,1630172244
portree,57.4129,-6.1942,59.86,89,99,6.2,GB,1630172244
oakley,37.9974,-121.7124,94.44,28,0,1.01,US,1630172244
ketchikan,55.3422,-131.6461,57.33,96,99,10.13,US,1630171990
coos bay,43.3665,-124.2179,71.31,72,1,13.8,US,1630172088
northam,51.0333,-4.2167,68.02,70,1,7.78,GB,1630172245
itarema,-2.9248,-39.9167,87.17,50,66,20.76,BR,1630172118
geraldton,-28.7667,114.6,45.01,93,34,3.44,AU,1630172245
qostanay,53.1667,63.5833,54.39,81,97,14.14,KZ,1630172245
hohhot,40.8106,111.6522,55.69,82,0,4.47,CN,1630172246
kavaratti,10.5669,72.642,79.12,82,100,16.75,IN,1630172246
wajir,1.7471,40.0573,85.57,28,5,11.74,KE,1630172246
sao desiderio,-12.3633,-44.9733,97.21,18,62,5.91,BR,1630172246
chino valley,34.7575,-112.4538,89.92,34,1,3.0,US,1630172247
mikhaylovka,50.06,43.2379,71.98,35,3,8.52,RU,1630172247
khatanga,71.9667,102.5,34.07,98,100,15.26,RU,1630172247
edgewater,28.9889,-80.9023,92.21,70,75,16.11,US,1630172247
parrsboro,45.4001,-64.332,71.42,43,35,11.92,CA,1630172248
basco,20.4487,121.9702,84.81,75,8,15.05,PH,1630172248
kohlu,29.8962,69.252,83.52,36,7,10.02,PK,1630172248
arandis,-22.4167,14.9667,51.46,28,0,3.51,NA,1630172248
majene,-3.5403,118.9707,77.0,91,100,6.76,ID,1630172249
kurilsk,45.2333,147.8833,61.23,87,1,10.49,RU,1630172249
sao filipe,14.8961,-24.4956,77.0,81,78,3.76,CV,1630172073
kalabo,-14.97,22.6814,78.42,16,0,7.56,ZM,1630172249
san joaquin,37.9333,-121.3011,93.78,44,1,0.0,US,1630172250
dole,47.0833,5.5,67.62,56,0,10.36,FR,1630172250
santa marta de tormes,40.9506,-5.6272,82.42,36,0,6.91,ES,1630172250
balatonfuzfo,47.0667,18.05,62.15,57,100,4.56,HU,1630172250
pandan,14.0453,124.1694,79.63,85,100,6.29,PH,1630172251
hayden,47.766,-116.7866,68.97,61,1,6.91,US,1630172251
bethanien,-26.502,17.1583,47.79,22,0,10.67,NA,1630172251
airai,-8.9266,125.4092,58.01,55,69,2.44,TL,1630172251
viedma,-40.8135,-62.9967,64.08,30,56,13.94,AR,1630172252
atambua,-9.1061,124.8925,70.0,71,61,5.82,ID,1630172252
